Open,High,Low,Adj Close,Volume,PChange,Day of Week,Month of Year,Day of Month
-0.728431677958836,-0.7406141693194449,-0.7303732930983228,-0.7294004799113176,-0.8554646340096402,,0,2,8
-0.7294648292841553,-0.743564476201757,-0.7388372612393485,-0.7449892006338785,-0.853962560251093,0.0,1,2,9
-0.7449628697271321,-0.7555719944433925,-0.7412202334568618,-0.7406226947522341,-0.8259836341217353,1.0,2,2,10
-0.7409069972776354,-0.737790357971862,-0.7368607909757449,-0.7222658816986769,-0.8228449725367112,1.0,3,2,11
-0.7219514476994677,-0.7351700393207351,-0.7285238006145063,-0.731000049105481,-0.8430220827261519,0.0,4,2,12
-0.7308254196843144,-0.7353992943346418,-0.7278643042642274,-0.7288166998692502,-0.8462952583791055,1.0,1,2,16
-0.7295959590070111,-0.7375848390135072,-0.7333291552016671,-0.738831870648769,-0.8319919291559242,0.0,2,2,17
-0.7382628384874692,-0.7431949279438542,-0.7321745320395149,-0.7286589578329813,-0.8505548705302097,1.0,3,2,18
-0.7286702530368523,-0.734607901528706,-0.7246181522698601,-0.7245842457755748,-0.8549489967492434,1.0,4,2,19
-0.7246498107199124,-0.7185414319274602,-0.7183727869063719,-0.7036063927987363,-0.8351305907409483,1.0,0,2,22
-0.7035983050191694,-0.7132999262413645,-0.7043879284203904,-0.7044209115301429,-0.8287187535029705,0.0,1,2,23
-0.7045102432848033,-0.7144065445555673,-0.7124690407972161,-0.7186951157111181,-0.8336060979710795,0.0,2,2,24
-0.7191574815077105,-0.7345564735236142,-0.7280031050896546,-0.7219818883448993,-0.8377536150655757,0.0,3,2,25
-0.7221545927435151,-0.7343381216720373,-0.726113337357605,-0.7278749667676371,-0.8362291222957068,0.0,4,2,26
-0.7278598873425359,-0.7386054867345462,-0.7290553578249346,-0.7260801944045037,-0.7840376639390203,1.0,0,3,1
-0.7261986231077517,-0.7320834917182244,-0.7245896039017321,-0.7287594966493048,-0.840152449276987,0.0,1,3,2
-0.7289393479774512,-0.7404046943682987,-0.73017739543821,-0.7309023992500258,-0.8515188880170385,0.0,2,3,3
-0.7309821589997793,-0.7262056491931074,-0.7238297557149553,-0.7120160238715381,-0.7701154579083063,1.0,3,3,4
-0.7120581884142255,-0.7007064377199455,-0.7049362109533067,-0.6855207650700281,-0.8009191794641857,1.0,4,3,5
-0.6854867219690077,-0.6981365821590622,-0.6845947733849035,-0.6863559885469258,-0.8427754736016142,0.0,0,3,8
-0.6866501365279486,-0.6947644307287171,-0.6850318422973158,-0.6896940899369753,-0.8022419011321601,0.0,1,3,9
-0.6895495263323783,-0.697013174958846,-0.6844579910514214,-0.6818957812667199,-0.8169936105817734,1.0,2,3,10
-0.6822560420483836,-0.6812747637590892,-0.6751819802642103,-0.6696085674108776,-0.79943952471696,1.0,3,3,11
-0.6696604723809436,-0.6789716969769316,-0.6661304154068111,-0.6716883925252016,-0.7996861338414977,0.0,4,3,12
-0.6717938803785634,-0.6778472283308611,-0.6660752410953938,-0.6635607324546797,-0.842058065239323,1.0,0,3,15
-0.6637510701254186,-0.6747220860116946,-0.6597659542939623,-0.6663514556365628,-0.851877592198184,0.0,1,3,16
